Batch_Name,DATE,COUNTS
Batch18,7/5/2020,24
Batch18,7/6/2020,24
Batch18,7/7/2020,24
Batch18,7/8/2020,24
Batch18,7/9/2020,24
Batch18,7/10/2020,24
Batch18,7/11/2020,24
Batch18,7/13/2020,24
Batch18,7/14/2020,24
Batch18,7/15/2020,24
Batch18,7/16/2020,24
Batch18,7/17/2020,24
Batch18,7/18/2020,24
Batch18,7/19/2020,24
Batch18,7/20/2020,3
Batch18,7/21/2020,24
Batch19,5/22/2020,12
Batch19,5/23/2020,12
Batch19,5/24/2020,12
Batch19,5/25/2020,12
Batch19,5/26/2020,12
Batch19,5/27/2020,12
Batch19,5/28/2020,12
Batch19,5/29/2020,12
Batch19,5/30/2020,12
Batch19,5/31/2020,12
Batch19,6/1/2020,12
Batch19,6/2/2020,12
Batch19,6/3/2020,12
Batch19,6/4/2020,12
Batch19,6/5/2020,12
Batch19,6/6/2020,12
Batch19,6/7/2020,12
Batch19,6/8/2020,12
Batch19,6/9/2020,12
Batch19,6/10/2020,12
Batch19,6/11/2020,12
Batch19,6/12/2020,12
Batch19,6/13/2020,12
Batch19,6/14/2020,12
Batch19,6/15/2020,12
Batch19,6/16/2020,12
Batch19,6/17/2020,12
Batch19,6/18/2020,12
Batch19,6/19/2020,12
Batch19,6/20/2020,12
Batch19,6/21/2020,12
Batch19,6/22/2020,12
Batch19,6/23/2020,12
Batch19,6/24/2020,12
Batch19,6/25/2020,12
Batch19,6/26/2020,12
Batch19,6/27/2020,12
Batch19,6/28/2020,12
Batch19,6/29/2020,12
Batch19,6/30/2020,12
Batch19,7/1/2020,12
Batch19,7/2/2020,12
Batch19,7/3/2020,12
Batch19,7/4/2020,12
Batch19,7/5/2020,12
Batch19,7/6/2020,12
Batch19,7/7/2020,12
Batch19,7/8/2020,12
Batch19,7/9/2020,12
Batch19,7/10/2020,12
Batch19,7/11/2020,12
Batch19,7/12/2020,12
Batch19,7/13/2020,12
Batch19,7/14/2020,12
Batch19,7/15/2020,12
Batch19,7/16/2020,12
Batch19,7/17/2020,12
Batch19,7/18/2020,12
Batch19,7/19/2020,12
Batch19,7/20/2020,12
Batch19,7/21/2020,12
Batch20,5/22/2020,34
Batch20,5/23/2020,34
Batch20,5/24/2020,34
Batch20,5/25/2020,34
Batch20,5/26/2020,34
Batch20,5/27/2020,34
Batch20,5/28/2020,34
Batch20,5/29/2020,34
