LD_INFO_SK,BTCH_NM,LD_STRT_TS,LD_END_TS,LD_DURTN_SCND,LD_STS,TNNT_SK,SRC_CD
1407975,BATCH_42,2020-07-02 05:35:06 EDT,2020-07-02 05:41:49 EDT,403,COMPLETED                                                                       ,1,SRC1
1408935,BATCH_64,2020-07-12 17:00:12 EDT,,,STARTED                                                                         ,1,SRC1
1409175,BATCH_72,2020-07-16 00:00:38 EDT,2020-07-16 00:06:35 EDT,357,COMPLETED                                                                       ,1,SRC15
1408455,BATCH_42,2020-07-07 02:43:10 EDT,2020-07-07 03:02:25 EDT,1155,COMPLETED                                                                       ,1,SRC1
1408575,BATCH_42,2020-07-08 04:35:55 EDT,2020-07-08 04:42:25 EDT,390,COMPLETED                                                                       ,1,SRC1
1408695,BATCH_3,2020-07-09 09:29:19 EDT,2020-07-09 10:39:30 EDT,4211,COMPLETED                                                                       ,1,SRC1
1409055,BATCH_54,2020-07-14 08:58:16 EDT,2020-07-14 12:07:49 EDT,11373,COMPLETED                                                                       ,1,SRC1
1409295,BATCH_42,2020-07-17 12:37:57 EDT,2020-07-17 12:45:16 EDT,439,COMPLETED                                                                       ,1,SRC1
1408147,BATCH_42,2020-07-03 23:34:51 EDT,2020-07-03 23:41:33 EDT,402,COMPLETED                                                                       ,1,SRC1
1409107,BATCH_80,2020-07-15 00:00:37 EDT,2020-07-15 00:07:39 EDT,422,COMPLETED                                                                       ,1,SRC18
1408027,BATCH_75,2020-07-02 16:40:41 EDT,2020-07-02 17:51:35 EDT,4254,COMPLETED                                                                       ,1,SRC18
1408627,BATCH_42,2020-07-08 16:35:43 EDT,2020-07-08 16:42:13 EDT,390,COMPLETED                                                                       ,1,SRC1
1407907,BATCH_41,2020-07-01 14:03:28 EDT,2020-07-01 14:04:10 EDT,42,COMPLETED                                                                       ,1,SRC1
1408267,BATCH_54,2020-07-05 04:16:41 EDT,2020-07-05 05:31:17 EDT,4476,COMPLETED                                                                       ,1,SRC1
1408387,BATCH_51,2020-07-06 10:00:13 EDT,2020-07-06 10:04:55 EDT,282,COMPLETED                                                                       ,1,SRC1
1408747,BATCH_42,2020-07-09 23:36:26 EDT,2020-07-09 23:42:58 EDT,392,COMPLETED                                                                       ,1,SRC1
1408507,BATCH_50,2020-07-07 16:00:11 EDT,2020-07-07 16:15:07 EDT,896,COMPLETED                                                                       ,1,SRC1
1408987,BATCH_42,2020-07-13 09:43:15 EDT,2020-07-13 09:53:16 EDT,601,COMPLETED                                                                       ,1,SRC1
1408867,BATCH_75,2020-07-11 09:23:17 EDT,2020-07-11 10:12:38 EDT,2961,COMPLETED                                                                       ,1,SRC18
1409347,BATCH_62,2020-07-18 06:56:37 EDT,2020-07-18 06:58:07 EDT,90,COMPLETED                                                                       ,1,SRC12
